ServiceName,ServiceCode,GeneratedLink,Description,Procedures,TargetAudience,ServiceTime,ServiceFee,ServiceLocation,ServiceContact,SDGoals,title,name,path,keywords,ServiceUrl,IconFileUrl,DescriptionTrimmed,ServiceID
Master Students - Letter of Examination Leave,GRAD-LEL,,Master Programs - Letter of Examination Leave,"Master students must fill up the e-service form
•	Graduate Registrar Office check the financial status of the master student with Finance Department.
•	If the financial status is cleared, the transcript will be issued and sent to master students to their ZU email.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	If there is a library hold, Graduate Registrar Office requests the master student to clear the hold in order to proceed with the request. 
•	Master students must notify the Graduate Registrar Office once they clear their accounts
Student must attach the course syllabus or the exam announcement to the request as support document  
",['8'],2 Working Days ,NA,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Graduate Registrar AUH,,Master Students - Letter of Examination Leave,GRAD-LEL,NA,Master Students - Letter of Examination Leave,https://eservices.zu.ac.ae/Service/en/Card/Master-Students---Letter-of-Examination-Leave,https://eservices.zu.ac.ae/Content/Icons/8aa7b5fa-2ed3-49b4-bdb4-c5a90ddf3aec.png,Master Programs - Letter of Examination Leave,70
Master Students – Replacement Official Diploma - Arabic version,GRAD-ROD- AR,,Issuing replacement Diploma - Arabic version upon Master student request,"•         Click Login
•         Enter your ZU ID and password to login
•         Click Start
•         Write your Full Name as per passport (please attach your passport copy) , ZU Student ID        Number, Program/ Major 
Graduation Date, Replacement Diploma Fee (157.5)) Receipt # on the comment box.
•         Graduate Registrar Office check the financial status of the master student with Finance Department.
•         If the financial status is cleared, the replacement Diploma will be issued and sent to master students to their ZU email.
•         If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•         Master students must notify the Graduate Registrar Office once they clear their accounts
","['5', '8']",3 WD,157.5 AED ,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor - 025993331,,Master Students – Replacement Official Diploma - Arabic version,GRAD-ROD- AR,NA,Master Students – Replacement Official Diploma - Arabic version,https://eservices.zu.ac.ae/Service/en/Card/Master-Students---Replacement-Official-Diploma---Arabic-version,https://eservices.zu.ac.ae/Content/Icons/baa6d0da-974f-42e6-9c48-cfe9bf5771f8.png,Issuing replacement Diploma - Arabic version upon Master student request,21
Master Students – Replacement Official Diploma - English version,GRAD-ROD- EN,,Issuing replacement Diploma - English version upon Master student request,"Click Login
•         Enter your ZU ID and password to login
•         Click Start
•         Write your Full Name as per passport (please attach your passport copy) , ZU Student ID        Number, Program/ Major, Reasons of Diploma Replacement (Damaged/Lost/Mistake), 
Graduation Date, Replacement Diploma Fee (150AED) Receipt # on the comment box.
•         Graduate Registrar Office check the financial status of the master student with Finance Department.
•         If the financial status is cleared, the replacement Diploma will be issued and sent to master students to their ZU email.
•         If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•         Master students must notify the Graduate Registrar Office once they clear their accounts
","['5', '8']",3 WD,150 AED,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor - 025993562,,Master Students – Replacement Official Diploma - English version,GRAD-ROD- EN,NA,Master Students – Replacement Official Diploma - English version,https://eservices.zu.ac.ae/Service/en/Card/Master-Students---Replacement-Official-Diploma---English-version,https://eservices.zu.ac.ae/Content/Icons/e72e9ad7-11ec-4f68-81c0-00bafac46031.png,Issuing replacement Diploma - English version upon Master student request,30
Mentoring Tool ,HR 002, https://mentoringtool.zu.ac.ae/,"* The program is designed to give UAE employees on grades (3, 4s, 4,5s) the opportunity to gain knowledge and guidance from Mentors of different backgrounds and experiences. 
* Mentorship provides a safe learning environment and focuses on the professional development of the mentee. 
* The duration of the mentoring sessions can last from 3 to 6 months. The aim of the mentoring sessions can be focused on the overall career development or can be project based.
","As a Mentee:
- You will be prompted to enter a user name and password, enter your ZU ID and Login Password.
- You need to select Mentor from the list provided, you will be able to review the Mentor’s profile 
- Write a comment to specify mentoring area
- Click on Submit
- Once you submit, you will receive notification emails as the process goes until end of the mentoring duration.
- At the end of the mentoring duration, notification will be sent to fill the evaluation form.
- log in and press on the evaluation form, then fill, save and attach the form.
- press Submit.",['3'],N/A,No fee required,HR Department,HRSupport@zu.ac.ae,,Mentoring Tool ,HR 002,https://www.zu.ac.ae/main https://mentoringtool.zu.ac.ae/,Mentoring Tool ,https://eservices.zu.ac.ae/Service/en/Card/Mentoring-Tool-,https://eservices.zu.ac.ae/Content/Icons/e828b2ee-2062-4ba7-9ee8-506e71c45ca2.png,"* The program is designed to give UAE employees on grades (3, 4s, 4,5s) the opportunity to gain know...",53
Moving to Cash Housing Request ,HR 001,https://cashhousing.zu.ac.ae/,"* Applying for Cash Housing 
* Applying to notify Zayed University of any change in the family situation or if the spouse commences work with a Government organization, which will impact the cash housing benefit.","* Fill in the E-form
* Attach the required documents
* Tick the cash housing advance option
* press submit
",['3'],N/A,N/A,HR Department,ahmad.alnaji[@]zu.ac.ae. ,,Moving to Cash Housing Request ,HR 001,https://www.zu.ac.ae/mainhttps://cashhousing.zu.ac.ae/,Moving to Cash Housing Request ,https://eservices.zu.ac.ae/Service/en/Card/Moving-to-Cash-Housing-Request-,https://eservices.zu.ac.ae/Content/Icons/2c6e23e2-1140-407f-ae7d-38bade0c09e4.png,* Applying for Cash Housing   * Applying to notify Zayed University of any change in the family situ...,73
ONCE Program,SCO-S-1,https://careers.zu.ac.ae,On Campus Employment (ONCE) Program for Zayed University students on their free time.,"1. Click start
2. You will be redirected to ONCE Portal
3. Login with your ZU ID and password
4. Check the ONCE Portal for vacancies available
5. Select the Job advertised
6. Upload your CV and apply for the job",['7'],One week after receiving the job post from the department.,N/A,Student Careers Office - Zayed University Dubai & Zayed University  Abu Dhabi ,Email: Naseema.Almarzooqi@zu.ac.ae /  04-402-1659,,ONCE Program,SCO-S-1,https://www.zu.ac.ae/mainhttps://careers.zu.ac.ae,ONCE Program,https://eservices.zu.ac.ae/Service/en/Card/ONCE-Program,https://eservices.zu.ac.ae/Content/Icons/9135ab3b-1f86-482e-b409-ef85676f4752.png,On Campus Employment (ONCE) Program for Zayed University students on their free time,15
Online Printing System ,CPDS - 04,https://printing.zu.ac.ae,All students and employees can send their printing request in advance and then they can collect their request at business center. The payment can be made through staff/student ZU ID card.,They need to log in from Intranet and then go to e-services.,"['7', '3', '8']",N/A,Raising the request: No fee required. Business Center Services: Applicable,Administration building – Level 1 – Campus services  ,dxb_BusCenter[@]zu.ac.ae./    -     Auh_BusCenter[@]zu.ac.ae. ,,Online Printing System ,CPDS - 04,https://www.zu.ac.ae/mainhttps://printing.zu.ac.ae,Online Printing System ,https://eservices.zu.ac.ae/Service/en/Card/Online-Printing-System-,https://eservices.zu.ac.ae/Content/Icons/09a96fd3-5785-489f-90d3-ca928142378b.png,All students and employees can send their printing request in advance and then they can collect thei...,57
Parking Violation Fine Payment,CPDS - 11,,"Parking violation fine payment for the students, faculty and staff (Both campuses)","1. Click Login. 
2. Use your ZU ID and password. 
3. Click Start. 
4. In case you have a comment, please write it in the comment box. 
5. Submit. 
6. You will receive automatic email with payment instructions link. 
7. When you click in the link it will take you to the electronic gate system. You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance department and Campus Physical Development & Services Department will start the service. 
10. Campus Physical Development & Services Department will send you a notification stating that ""The car clamp is removed""
","['7', '3', '5', '6']",Payment needs to be done on the same day,200 AED,Zayed University Dubai campus and Abu Dhabi Campus,"FacilitiesAUH@zu.ac.ae
FacilitiesDXB@zu.ac.ae","Goal 1. Make cities inclusive, safe, resilient and sustainable. 
Goal 2. Ensure sustainable consumption and production patterns. 
Several sustainable development goals are embedded within the services of Campus Physical Development & Services Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Locker registration, Car Registration, Lost & Found, Online print request etc. have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. ",Parking Violation Fine Payment,CPDS - 11,NA,Parking Violation Fine Payment,https://eservices.zu.ac.ae/Service/en/Card/Parking-Violation-Fine-Payment,https://eservices.zu.ac.ae/Content/Icons/544481b7-a3ef-4138-a4ec-06d5f2eeb103.png,"Parking violation fine payment for the students, faculty and staff (Both campuses)",55
Provide Career Counseling Services,SCO-S-2,https://zayed-csm.symplicity.com/students/index.php?s=calendar&ss=app_main&mode=landing,"Provide career awareness and coaching to students on decision making, career choices and development of essential career related skills. ","
1. Log in with your ZU ID number and password
2. Press on the Start icon to begin
3. Fill in the counselling form and select a date and time from the timings available for counselling
4. Select if the service will be Face to Face or Virtual via Webex
5. Submit
6. Get Confirmation on the Date/Time and link ( for virtual appointments through Webex) by Email
7. Meet with the Career counselor in the Student Careers and Alumni Department (AUH 0.133 or R-GF-060A) or virtually through Webex",['7'],Services provided within one working day,No fee required,"Zayed University - Dubai Campus
Zayed University - Abu-Dhabi Campus",AUH - jane.tatterton@zu.ac.ae;  DXB - Rafeef.Dahir@zu.ac.ae,"Provide career awareness and coaching to students on decision making, career choices and development of essential career related skills to promote inclusive and sustainable economic growth, employment and decent work for all.",Provide Career Counseling Services,SCO-S-2,https://www.zu.ac.ae/mainhttps://zayed-csm.symplicity.com/students/index.php?s=calendar&ss=app_main&mode=landing,Provide Career Counseling Services,https://eservices.zu.ac.ae/Service/en/Card/Provide-Career-Counseling-Services,https://eservices.zu.ac.ae/Content/Icons/76dedf0a-a102-410c-9602-0cb643a6bd19.png,"Provide career awareness and coaching to students on decision making, career choices and development...",36
Register courses for MA students,GRAD-CSR-EN,https://bannerweb.zu.ac.ae,Course Self-Registration - English Version,"Click Login 
• Enter your ZU ID # and password to login. 
• Click Start. 
• Write your Full Name as per passport, ZU Student ID Number, Program Name, Course Registration Fee (as per the Schedule of Graduate Tuition Payment Plans) Receipt # on the comment box. 
• Select the course(s)for self-registration.
• If your financial status is cleared, the Graduate Registrar notifies you by using your ZU email address. 
• If your financial status is not cleared, the Graduate Registrar's Office notifies you by using your ZU email address to clear your finances in order to proceed with your request.
",['8'],Course self registration should be done before the start of the course,NA,Zayed University Abu Dhabi Campus,"Kalthoum AlMarzouqi, Acting Graduate Registrar, Tel: +971-2-599-3562 Email: Kalthoum.AlMarzouqi[@]zu.ac.ae.",,Register courses for MA students,GRAD-CSR-EN,https://www.zu.ac.ae/mainhttps://bannerweb.zu.ac.ae,Register courses for MA students,https://eservices.zu.ac.ae/Service/en/Card/Register-courses-for-MA-students,https://eservices.zu.ac.ae/Content/Icons/c5c90b56-39f7-4da0-91c6-8a111c113864.png,Course Self-Registration - English Version,79
Request provision of Technical Support services to students,SD-001,https://sanad.zu.ac.ae/HomePage.do?view_type=my_view,Provide technical support to students,"1. Click Start
2. You will be redirect to service desk website 
3. Login with your ZU ID & password.
4. Click on “Create a New Incident”
5. Write complete detail of your request in “Incident Description”, and Select Priority
6. Click on Submit.
7. Service Desk staff will receive your request on-line and will respond to your request immediately. ","['7', '5', '3', '6', '8']",8:00 AM to 4:00 PM,N/A,"Dubai: Ground Floor Wing AB, Entrance from Atrium side.
Abu Dhabi: Administration Building, Ground Floor, opposite Student Affairs.
","Email – IT.ServiceDesk@zu.ac.ae , Sanad@zu.ac.ae
Web – https://sanad.zu.ac.ae
Phone – AUH - 02 599 3666 / DXB – 04 402 1777 ( only if you do not have access to email or web)","Zayed University provides high quality education and it is recognized as one of the leading universities in the region for excellence in educational innovation. We as an IT Department are a part of this entity and we work on supporting the students in their educational journey and we realize the importance of building a sustainable community and being an effective part of the world and UN sustainability supporting goals. Hence, we illustrate below our contribution to Sustainability Development Goals. 

Quality Education: The IT Client Services Unit ensures the continuation and delivery of high quality education to all the students by providing IT technical support on & off campus. Service Desk provides consistent and reliable support of classes to makes it possible for educators to better leverage their use of technology as an effective teaching and learning tool. Technical support team ensures that the technology continues to function, remains up to date and is fully usable by Faculty, and students.

Reduced inequalities: People of determination face challenges of all types, IT Service desk provides constant support of technologies that can help them have an easier learning experience while being able to access all needed resources just like the other students. These technologies help them read and write documents, communicate with others, and search for information on the Internet. The main purpose of supporting people of determination with these rehabilitative technologies is to enable them to be a part of society and lead a near-normal life. 

Gender Equality: IT Service Desk supports both genders equally & treats all students, staff, and faculty fairly. Service Desk has an inclusive culture that ensures equal access to resources to enable students from both genders to fully participate in the learning process and enable everyone to reach their full potential. 

Life on Land: We contribute to this goal through some of our green initiative” which is mainly focusing on managing printing and reducing the use of papers.  For example, printing back and front on one page instead of printing on two pages. ZU printers are used by students, faculty, and staff around the campus via a smart system that keeps the IT helpdesk aware of the volume of print jobs released which can help in analyzing the amount of paper used and how the university can contribute to reducing waste and recycling it when possible. 

Decent work and economic growth: Employment opportunities & well-paid quality jobs are available to both male & female students to help them be productive, develop and grow through a program called (ON CAMPUS EMPLOYMENT). 

IT Service Desk center monitors and maintains university’s computer systems and provides the technical expertise needed to keep all ZU systems running smoothly thus enabling employees, faculty & students to stay productive and maximize the utilization of technologies provided for all users. ",Request provision of Technical Support services to students,SD-001,https://www.zu.ac.ae/mainhttps://sanad.zu.ac.ae/HomePage.do?view_type=my_view,Request provision of Technical Support services to students,https://eservices.zu.ac.ae/Service/en/Card/Request-provision-of-Technical-Support-services-to-students,https://eservices.zu.ac.ae/Content/Icons/54d096ec-df8c-4241-8234-d9175ce7ee74.png,Provide technical support to students,27
Resource Scheduler,CPDS - 07,https://rscheduler.zu.ac.ae/MyEvents,Service to book a meeting/conference rooms through online,"- Login using your ZU ID
- Choose the room
- Choose the date and time
- Request services e.g: security, cleaning, catering, ..etc
- Submit",['3'],N/A,N/A,Online,Ayesha.AlFalasi@zu.ac.ae - Fadi.Suwan@zu.ac.ae - Also from other departments ,,Resource Scheduler,CPDS - 07,https://www.zu.ac.ae/mainhttps://rscheduler.zu.ac.ae/MyEvents,Resource Scheduler,https://eservices.zu.ac.ae/Service/en/Card/Resource-Scheduler,https://eservices.zu.ac.ae/Content/Icons/8d24cbc3-a482-4c68-bc48-e366a4bc5431.png,Service to book a meeting/conference rooms through online,6
Sponsor Access System,Reg-08,,"The Sponsor Access System provides secured access to track the progress of sponsored students toward the completion of their degrees, and verify pertinent information.","1. Register a eService Account.
2. Start the service. 
3. Provide the required information shown on the page then submit.
4. Wait for the confirmation email that your account has been approved.
5. Go to Sponsor Access System to access your account.",['6'],1 - 2 days,N/A,Sponsors can access the academic data of their sponsored students from their premises,N/A,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  


",Sponsor Access System,Reg-08,NA,Sponsor Access System,https://eservices.zu.ac.ae/Service/en/Card/Sponsor-Access-System,https://eservices.zu.ac.ae/Content/Icons/d0223391-1d8f-4fac-a2c0-81bfbd339bc6.png,The Sponsor Access System provides secured access to track the progress of sponsored students toward...,77
Stationary Ordering System,CP2,https://stationary.zu.ac.ae,Order stationery from the warehouse ,Scan the barcode of the item using the barcoding machine at the store. ,['3'],N/A,N/A,Store – wing C,Mahamood.Challakkara@zu.ac.ae  ,,Stationary Ordering System,CP2,https://www.zu.ac.ae/mainhttps://stationary.zu.ac.ae,Stationary Ordering System,https://eservices.zu.ac.ae/Service/en/Card/Stationary-Ordering-System,https://eservices.zu.ac.ae/Content/Icons/8b67a0cd-cd24-4ed9-8b4b-3af0b57252c5.png,Order stationery from the warehouse ,47
Student Car Registration,CPDS- 08,https://gatesystem.zu.ac.ae/SitePages/Home.aspx,Online service to register student/staff and faculty cars in ZU gate system,"- Login using your ZU ID
- Open: http://gatesystem.zu.ac.ae/SitePages/Home.aspx
- Click New request
- Fill the information and attachment 
- submit
","['7', '8']",2 Working Day ,"Free for two cars, the third & fourth car will cost 25 AED",Online,CarRegistration_DXB@zu.ac.ae,,Student Car Registration,CPDS- 08,https://www.zu.ac.ae/mainhttps://gatesystem.zu.ac.ae/SitePages/Home.aspx,Student Car Registration,https://eservices.zu.ac.ae/Service/en/Card/Student-Car-Registration,https://eservices.zu.ac.ae/Content/Icons/2a3fcb6c-3411-4871-a49f-ce3161e5e445.png,Online service to register student/staff and faculty cars in ZU gate system,3
Student Counselling Center,COU-01-A,https://scc.zu.ac.ae/,"The portal contains all the electronic services of the Student Counselling Centre, such as making an appointment with a counsellor, providing an academic accommodation, registering and attending training workshops, or referral which faculty/advisors and professors can request. And in a safe and supportive environment and always taking into account their privacy. To enable them to perform at the best academic and personal level and achieve their personal and leadership goals.




","
1.	Log in to the portal
2.	Click on the preferred service (booking appointments/ accommodation/ referral /calendar of events/ upcoming events)
3.	Fill the application or form 
4.     Submit ",['7'],The average time for receiving an appointment is approximately 24 hrs after the request is placed. ,N/A,"AUH Office- Student Counseling Center across from the Registration office
DXB Office- Student Counseling Center located in Student affairs","Abu Dhabi Campus:  
Amal Bin Alawi  
Tel: 02-5993728 /0564156060
Office: (ADM.1.107)
Email: Amal.BinAlawi@zu.ac.ae
Dubai Campus:
Sara Al Marzooq
Tel: 04-4021637/ 055-3646463  
Office: (R-GF-077)
Email: Sara.AlMarzooqi@zu.ac.ae
","Goal 3 :Promoting health and wellbeing by providing psychological services that increase self awareness, resilience, skills development, and emotional growth and wellbeing.
Goal 6: Empowering women decreasing gender inequality by empowering women through raising self awareness, purpose, direction and self-determination.
",Student Counselling Center,COU-01-A,https://www.zu.ac.ae/mainhttps://scc.zu.ac.ae/,Student Counselling Center,https://eservices.zu.ac.ae/Service/en/Card/Student-Counselling-Center,https://eservices.zu.ac.ae/Content/Icons/338f1d94-cd86-4dff-af75-2531bb41711b.png,"The portal contains all the electronic services of the Student Counselling Centre, such as making an...",74
Student Course Registration ,Reg-06,http://bannerweb.zu.ac.ae,Student self-registration to courses for each semester in order to have a schedule,"Your key contact person for Online Registration is your ADVISOR. Please make an appointment with your Advisor via ARM to review your planned courses and get the temporary advising hold removed so that you can register to courses. 

1. Click Start, you will be redirected to Banner Web site.
2. Click on Secure Area. 
3. Enter your ZU ID and Password to login. (Student will only be able to proceed with remaining steps based on his/her time ticket which contains the date and time for registration and can be viewed online on SAP website).  
4. Student inserts the courses he/she must register in.
5. Student submits his/her requests and gets an immediate response showing that the process was successfully completed or there is an issue with his/her course selection so he/she will do additional changes to complete the schedule.
",['7'],22 hours,N/A,"Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 

",Student Course Registration ,Reg-06,https://www.zu.ac.ae/mainhttp://bannerweb.zu.ac.ae,Student Course Registration ,https://eservices.zu.ac.ae/Service/en/Card/Student-Course-Registration-,https://eservices.zu.ac.ae/Content/Icons/368e8d0b-520d-48ed-ad8e-c1fa5594017b.png,Student self-registration to courses for each semester in order to have a schedule,92
Student Data Modification ,Reg-05,,Modify the student name in the system in case of typo mistake or changing name legally,"(Please before starting with this service, hand the original passport, passport copy, and court letter if needed to the Admissions & Registration Department. The Staff will verify and take the copy only)

1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Admissions & Registration Department  will modify the data in the system. 
7. Admissions & Registration Department  will send you a notification that the update is successfully done.  
",['7'],•	The average time for application submission: 2 working day ,N/A,"Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. ",Student Data Modification ,Reg-05,NA,Student Data Modification ,https://eservices.zu.ac.ae/Service/en/Card/Student-Data-Modification-,https://eservices.zu.ac.ae/Content/Icons/fd57b1a0-eb56-4e87-b833-a6f1aa7d9524.png,Modify the student name in the system in case of typo mistake or changing name legally,46
Student of Determination Registration Form,SAS003,,"All Students of Determination are strongly encouraged to register with Student Accessibility Services Department (SAS) through this e-service and submit this request with their documentations as early as possible to benefit from SAS services, while SAS ensures dealing with the information with confidentiality. ","
1. Click Login.
2. Use your ZU ID and password to login. 
3. Fill the ""Student Registration Form"" fields.
4. Attach the requiered documents. 
5. Click Submit.
6. The request will be reviewed, and you will be contacted by Student Accessibility Services staff.
",['7'],SAS requires 5 working days to process applications.,No Fees Required,"Abu Dhabi: Student Accessibility Services Department           
           Library, LB-01-037- 1st Floor

Dubai: Student Accessibility Services Department
       Ground Floor, 04-GF-054
",(Dubai): Rania.Ali@zu.ac.ae - 04 402 1347  (Abu Dhabi): Hassan.Wardi@zu.ac.ae - 02 599 3186 ,,Student of Determination Registration Form,SAS003,NA,Student of Determination Registration Form,https://eservices.zu.ac.ae/Service/en/Card/Student-of-Determination-Registration-Form,https://eservices.zu.ac.ae/Content/Icons/29032c28-9d87-426a-9421-97675b989360.png,All Students of Determination are strongly encouraged to register with Student Accessibility Service...,29
Temp employees & Research Assistants Hourly timesheet,FIN 01,https://hourlypaid.zu.ac.ae/SubmitTimesheet/LoadForm,Temp Employees / Research Assistants monthly salary,"Temp Employees /Research Assistants: 
1.User login with ZU ID and Password
2.Need to fill details requested in the form also upload the copy of the Agreement 
3.Once done with approval process
4.Bank transfer will be done to the employee’s personal bank account",['3'],N/A,No fee required,Financial Resources Department,Joby.Kannampuzha@zu.ac.ae,,Temp employees & Research Assistants Hourly timesheet,FIN 01,https://www.zu.ac.ae/mainhttps://hourlypaid.zu.ac.ae/SubmitTimesheet/LoadForm,Temp employees & Research Assistants Hourly timesheet,https://eservices.zu.ac.ae/Service/en/Card/Temp-employees---Research-Assistants-Hourly-timesheet,https://eservices.zu.ac.ae/Content/Icons/27e3b793-9e32-4ecf-b0c8-8b0f273e1353.png,Temp Employees / Research Assistants monthly salary,49
To whom it may concern summer approval letter – Digital PDF,Reg-13-D,,Issuing a Summer Approval Letter for students granted permission to study summer courses outside Zayed University upon the student’s request,"1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. Admissions & Registration Department will issue the Summer Approval Letter.
7. Admissions & Registration Department will send you an email with digital document 
",['7'],• The average time for application submission: 10 minutes   • The average time to issue the certificate:  2 working days,No fee required,"•	Admissions & Registration Department at Zayed University - Abu Dhabi Campus
•	Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 
",To whom it may concern summer approval letter – Digital PDF,Reg-13-D,NA,To whom it may concern summer approval letter – Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/To-whom-it-may-concern-summer-approval-letter---Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/33139380-1003-48be-bbc1-37648206c192.png,Issuing a Summer Approval Letter for students granted permission to study summer courses outside Zay...,60
Training & Workshop for Zayed University Students,SAS001,,"The Student Accessibility Services Department offers specialized training courses and workshops for ZU Students. These workshops aim to provide knowledge, tips, and strategies on the most appropriate ways to approach, communicate and interact with Students of Determination."," Click Login.

2. Use your ZU ID and password to log in.

3. Fill in the ""Trainings & Workshops for Zayed University Students Form"" fields.

4. Click Submit.

5. Request will be reviewed, and you will be contacted by Student Accessibility Services staff.","['7', '3']",It takes 3 working days,Not applicable,"Student Accessibility Service, Dubai & Abu Dhabi Campus","(Dubai): Rania.Ali[@]zu.ac.ae. - 04 402 1347,  (Abu Dhabi): Hassan.Wardi[@]zu.ac.ae -  02 599 3186",,Training & Workshop for Zayed University Students,SAS001,NA,Training & Workshop for Zayed University Students,https://eservices.zu.ac.ae/Service/en/Card/Training---Workshop-for-Zayed-University-Students,https://eservices.zu.ac.ae/Content/Icons/f3e20a05-ecf6-4853-b71f-800990782a05.png,The Student Accessibility Services Department offers specialized training courses and workshops for ...,80
Training & Workshops for Faculty & Admin Staff,SAS004,,"The Student Accessibility Services Department offers training courses and workshops for faculty and admin staff to train them on dealing with Students of Determination, in order to enhance their knowledge about students' disability challenges.","
1. Click Login.
2. Use your ZU ID and password to login. 
3. Fill the ""Trainings & Workshops for Faculty & Admin Staff Form"" fields.
4. Click Submit.
5. Request will be reviewed, and you will be contacted by Student Accessibility Services staff.
",['3'],On average 5 working days from the date of submitting the request.,No Fees Required,"Abu Dhabi: Student Accessibility Services Department           
           Library, LB-01-037- 1st Floor

Dubai: Student Accessibility Services Department
       Ground Floor, 04-GF-054

",(Dubai): Rania.Ali@zu.ac.ae - 04 402 1347 (Abu Dhabi): Hassan.Wardi@zu.ac.ae - 02 599 3186 // Rukiya.Deetjen@zu.ac.ae – 02 599 3118,,Training & Workshops for Faculty & Admin Staff,SAS004,NA,Training & Workshops for Faculty & Admin Staff,https://eservices.zu.ac.ae/Service/en/Card/Training---Workshops-for-Faculty---Admin-Staff,https://eservices.zu.ac.ae/Content/Icons/90a6ad09-c4ce-44d8-9846-d4c38cb552b1.png,The Student Accessibility Services Department offers training courses and workshops for faculty and ...,58
